,mean_value_5,max_value_5,mean_value_10,max_value_10,mean_value_15,max_value_15
cel_stage_5_kldivergence_top_5_10_15_bs_16,54.70237870897565,56.54761668613979,72.02380706242153,73.2142835344587,79.25594959259033,80.95237840924945
cel_stage_4_kldivergence_top_5_10_15_bs_16,49.49404622486659,52.97618865966797,68.80952170235769,70.83333260672433,78.18452216557094,79.1666646684919
cel_stage_3_kldivergence_top_5_10_15_bs_16,47.26190316336495,49.4047600882394,69.01785403660365,71.42856870378766,76.9345209666661,79.16666412353516
cel_stage_2_kldivergence_top_5_10_15_bs_16,51.81547494615827,53.57142693655832,70.56547355651858,72.61904580252511,81.22023631504605,82.73809378487724
cel_stage_5_top_5_10_15_bs_16_shuffled_margin_0,49.88095091411045,51.78571237836565,65.47618833269392,67.26190185546875,75.83333086286272,77.38094929286412
cel_stage_4_top_5_10_15_bs_16_shuffled_margin_0,46.66666537693568,48.809522901262554,69.88094986506869,72.61904525756836,80.0595218385969,81.54761723109654
cel_stage_3_top_5_10_15_bs_16_shuffled_margin_0,42.35118895939418,44.04761750357492,64.76190245492117,66.07142693655831,73.72023604256766,74.999997820173
cel_stage_2_top_5_10_15_bs_16_shuffled_margin_0,48.69047487803868,51.19047491891043,67.0535691670009,68.45237840924945,75.3273787362235,76.78571265084403
cel_stage_5_top_5_10_15_bs_16_shuffled,50.74404619761876,51.78571319580078,64.0178554534912,65.47618865966797,73.09523503439767,74.40475899832589
cel_stage_4_top_5_10_15_bs_16_shuffled,46.130951036725726,48.809522356305806,64.43452287401472,66.66666521344867,74.52380706242153,75.59523555210659
cel_stage_3_top_5_10_15_bs_16_shuffled,47.351188973018104,49.4047600882394,71.16071145193918,73.21428298950195,78.1249968937465,79.7619024004255
cel_stage_2_top_5_10_15_bs_16_shuffled,50.416664777483255,52.38095038277762,68.63095011029922,71.42856815883091,75.7738071169172,78.57142584664481
cel_stage_5_individual_top_5_10_15_bs_16,47.97618923187256,50.59523718697684,69.28571175166539,71.42856761387416,78.45237854548863,79.76190294538226
cel_stage_4_individual_top_5_10_15_bs_16,42.44047491891043,43.4523800441197,69.94047418321884,71.42856979370117,78.39285479954312,80.35714067731585
cel_stage_3_individual_top_5_10_15_bs_16,46.24999859673636,49.40476036071777,67.94642641884938,69.64285550798688,78.21428312574116,79.76190294538226
cel_stage_2_individual_top_5_10_15_bs_16,56.78571221487863,58.33333151681082,73.21428342546734,74.99999727521624,82.97618806021555,84.52380698067802
